[2022-11-14 23:25:58,636] 0	T_sample 17.15	T_update 4.91	ETA 12:14:56	expert_R_avg 0.3341 [0.3716,0.5172,0.2540,0.2063,0.2327,0.7706]	expert_R_range (0.0493, 0.9644)	eps_len 10.46
[2022-11-15 05:06:51,508] 858	T_sample 18.87	T_update 5.00	ETA 7:33:54	expert_R_avg 0.5329 [0.6925,0.5322,0.4955,0.1156,0.3106,0.0230]	expert_R_range (0.0164, 0.9331)	eps_len 74.16
[2022-11-15 05:07:15,747] 859	T_sample 19.19	T_update 5.01	ETA 7:39:47	expert_R_avg 0.5339 [0.6935,0.5326,0.4970,0.1150,0.3120,0.0233]	expert_R_range (0.0169, 0.9342)	eps_len 73.44
[2022-11-15 05:07:40,090] 860	T_sample 19.32	T_update 4.98	ETA 7:41:13	expert_R_avg 0.5306 [0.6916,0.5296,0.4907,0.1141,0.3073,0.0228]	expert_R_range (0.0228, 0.9327)	eps_len 73.71
[2022-11-15 05:08:04,303] 861	T_sample 19.19	T_update 4.99	ETA 7:38:29	expert_R_avg 0.5318 [0.6906,0.5280,0.4952,0.1163,0.3102,0.0229]	expert_R_range (0.0360, 0.9354)	eps_len 73.93
[2022-11-15 05:08:28,014] 862	T_sample 18.69	T_update 4.98	ETA 7:28:33	expert_R_avg 0.5312 [0.6911,0.5298,0.4925,0.1165,0.3089,0.0228]	expert_R_range (0.0277, 0.9327)	eps_len 73.37
[2022-11-15 05:08:51,669] 863	T_sample 18.63	T_update 4.98	ETA 7:27:06	expert_R_avg 0.5282 [0.6879,0.5277,0.4901,0.1130,0.3048,0.0224]	expert_R_range (0.0091, 0.9373)	eps_len 73.74
[2022-11-15 05:09:15,514] 864	T_sample 18.81	T_update 4.99	ETA 7:30:18	expert_R_avg 0.5292 [0.6896,0.5281,0.4900,0.1131,0.3059,0.0224]	expert_R_range (0.0024, 0.9299)	eps_len 73.49
[2022-11-15 05:09:39,163] 865	T_sample 18.60	T_update 5.00	ETA 7:26:11	expert_R_avg 0.5327 [0.6923,0.5293,0.4958,0.1146,0.3091,0.0230]	expert_R_range (0.0198, 0.9283)	eps_len 73.96
[2022-11-15 05:10:03,092] 866	T_sample 18.90	T_update 4.99	ETA 7:31:06	expert_R_avg 0.5311 [0.6904,0.5299,0.4945,0.1119,0.3082,0.0228]	expert_R_range (0.0179, 0.9342)	eps_len 73.79
[2022-11-15 05:10:27,054] 867	T_sample 18.93	T_update 4.99	ETA 7:31:19	expert_R_avg 0.5311 [0.6902,0.5299,0.4938,0.1173,0.3086,0.0228]	expert_R_range (0.0023, 0.9302)	eps_len 73.47
[2022-11-15 05:10:51,063] 868	T_sample 18.98	T_update 4.99	ETA 7:31:48	expert_R_avg 0.5285 [0.6890,0.5281,0.4879,0.1107,0.3096,0.0228]	expert_R_range (0.0111, 0.9297)	eps_len 73.21
[2022-11-15 05:11:14,919] 869	T_sample 18.85	T_update 4.96	ETA 7:28:32	expert_R_avg 0.5299 [0.6901,0.5276,0.4914,0.1129,0.3068,0.0226]	expert_R_range (0.0040, 0.9345)	eps_len 73.38
[2022-11-15 05:11:38,988] 870	T_sample 19.01	T_update 5.01	ETA 7:32:00	expert_R_avg 0.5317 [0.6917,0.5300,0.4932,0.1129,0.3104,0.0226]	expert_R_range (0.0161, 0.9331)	eps_len 73.59
[2022-11-15 05:12:02,759] 871	T_sample 18.74	T_update 4.99	ETA 7:26:09	expert_R_avg 0.5304 [0.6904,0.5293,0.4916,0.1133,0.3093,0.0226]	expert_R_range (0.0247, 0.9386)	eps_len 73.60
[2022-11-15 05:12:26,333] 872	T_sample 18.57	T_update 4.96	ETA 7:22:02	expert_R_avg 0.5338 [0.6918,0.5306,0.4990,0.1146,0.3134,0.0228]	expert_R_range (0.0109, 0.9348)	eps_len 74.17
[2022-11-15 05:12:50,319] 873	T_sample 18.96	T_update 4.98	ETA 7:29:22	expert_R_avg 0.5331 [0.6934,0.5304,0.4948,0.1172,0.3096,0.0224]	expert_R_range (0.0261, 0.9328)	eps_len 73.86
[2022-11-15 05:13:14,399] 874	T_sample 19.01	T_update 5.03	ETA 7:30:43	expert_R_avg 0.5305 [0.6906,0.5279,0.4919,0.1122,0.3092,0.0224]	expert_R_range (0.0121, 0.9364)	eps_len 73.42
[2022-11-15 05:13:38,444] 875	T_sample 19.00	T_update 5.00	ETA 7:29:40	expert_R_avg 0.5284 [0.6894,0.5274,0.4879,0.1107,0.3070,0.0221]	expert_R_range (0.0003, 0.9294)	eps_len 73.80
[2022-11-15 05:14:02,543] 876	T_sample 19.05	T_update 5.01	ETA 7:30:18	expert_R_avg 0.5312 [0.6908,0.5281,0.4944,0.1121,0.3075,0.0225]	expert_R_range (0.0129, 0.9319)	eps_len 73.27
[2022-11-15 05:14:26,722] 877	T_sample 19.17	T_update 4.97	ETA 7:31:23	expert_R_avg 0.5292 [0.6889,0.5274,0.4909,0.1114,0.3080,0.0224]	expert_R_range (0.0459, 0.9345)	eps_len 73.15
[2022-11-15 05:14:51,133] 878	T_sample 19.39	T_update 4.98	ETA 7:35:19	expert_R_avg 0.5325 [0.6921,0.5283,0.4957,0.1142,0.3096,0.0220]	expert_R_range (0.0101, 0.9342)	eps_len 73.67
[2022-11-15 05:15:14,971] 879	T_sample 18.81	T_update 4.98	ETA 7:24:12	expert_R_avg 0.5292 [0.6896,0.5240,0.4910,0.1135,0.3031,0.0217]	expert_R_range (0.0133, 0.9350)	eps_len 73.71
[2022-11-15 05:15:39,076] 880	T_sample 19.04	T_update 5.02	ETA 7:28:40	expert_R_avg 0.5300 [0.6905,0.5273,0.4902,0.1137,0.3091,0.0224]	expert_R_range (0.0314, 0.9335)	eps_len 74.04
[2022-11-15 05:16:02,878] 881	T_sample 18.76	T_update 5.00	ETA 7:22:45	expert_R_avg 0.5299 [0.6909,0.5282,0.4897,0.1147,0.3073,0.0220]	expert_R_range (0.0332, 0.9354)	eps_len 73.70
[2022-11-15 05:16:26,941] 882	T_sample 19.01	T_update 5.01	ETA 7:27:13	expert_R_avg 0.5280 [0.6885,0.5262,0.4878,0.1149,0.3056,0.0216]	expert_R_range (0.0074, 0.9319)	eps_len 73.41
[2022-11-15 05:16:50,813] 883	T_sample 18.83	T_update 5.00	ETA 7:23:15	expert_R_avg 0.5282 [0.6887,0.5258,0.4882,0.1146,0.3061,0.0216]	expert_R_range (0.0096, 0.9337)	eps_len 73.79
[2022-11-15 05:17:15,216] 884	T_sample 19.36	T_update 5.00	ETA 7:32:41	expert_R_avg 0.5305 [0.6917,0.5286,0.4897,0.1138,0.3096,0.0218]	expert_R_range (0.0223, 0.9341)	eps_len 73.61
[2022-11-15 05:17:39,050] 885	T_sample 18.81	T_update 4.98	ETA 7:21:45	expert_R_avg 0.5314 [0.6911,0.5271,0.4942,0.1175,0.3064,0.0217]	expert_R_range (0.0284, 0.9331)	eps_len 73.85
[2022-11-15 05:18:02,737] 886	T_sample 18.66	T_update 4.99	ETA 7:18:39	expert_R_avg 0.5306 [0.6905,0.5267,0.4933,0.1171,0.3044,0.0216]	expert_R_range (0.0287, 0.9291)	eps_len 74.05
[2022-11-15 05:18:26,945] 887	T_sample 19.18	T_update 4.98	ETA 7:27:52	expert_R_avg 0.5314 [0.6911,0.5256,0.4950,0.1131,0.3057,0.0217]	expert_R_range (0.0317, 0.9394)	eps_len 73.56
[2022-11-15 05:18:51,236] 888	T_sample 19.27	T_update 4.98	ETA 7:29:02	expert_R_avg 0.5342 [0.6943,0.5311,0.4966,0.1158,0.3121,0.0220]	expert_R_range (0.0165, 0.9351)	eps_len 73.92
[2022-11-15 05:19:15,053] 889	T_sample 18.77	T_update 5.01	ETA 7:19:52	expert_R_avg 0.5306 [0.6907,0.5285,0.4919,0.1158,0.3080,0.0219]	expert_R_range (0.0256, 0.9308)	eps_len 73.18
[2022-11-15 05:19:38,800] 890	T_sample 18.73	T_update 4.96	ETA 7:18:00	expert_R_avg 0.5327 [0.6932,0.5288,0.4944,0.1132,0.3099,0.0217]	expert_R_range (0.0181, 0.9366)	eps_len 73.52
[2022-11-15 05:20:03,020] 891	T_sample 19.20	T_update 4.98	ETA 7:26:30	expert_R_avg 0.5289 [0.6891,0.5257,0.4888,0.1174,0.3072,0.0214]	expert_R_range (0.0061, 0.9319)	eps_len 74.18
[2022-11-15 05:20:27,409] 892	T_sample 19.36	T_update 4.99	ETA 7:29:13	expert_R_avg 0.5301 [0.6912,0.5274,0.4886,0.1138,0.3111,0.0218]	expert_R_range (0.0235, 0.9356)	eps_len 74.15
[2022-11-15 05:20:51,481] 893	T_sample 19.03	T_update 5.00	ETA 7:22:58	expert_R_avg 0.5337 [0.6944,0.5297,0.4958,0.1155,0.3087,0.0217]	expert_R_range (0.0142, 0.9373)	eps_len 73.56
[2022-11-15 05:21:15,550] 894	T_sample 19.01	T_update 5.02	ETA 7:22:31	expert_R_avg 0.5314 [0.6925,0.5286,0.4917,0.1144,0.3086,0.0215]	expert_R_range (0.0560, 0.9326)	eps_len 73.70
[2022-11-15 05:21:39,456] 895	T_sample 18.85	T_update 5.01	ETA 7:19:07	expert_R_avg 0.5271 [0.6884,0.5243,0.4862,0.1138,0.3034,0.0212]	expert_R_range (0.0233, 0.9343)	eps_len 73.89
[2022-11-15 05:22:03,315] 896	T_sample 18.83	T_update 4.99	ETA 7:17:52	expert_R_avg 0.5258 [0.6870,0.5221,0.4849,0.1122,0.3020,0.0208]	expert_R_range (0.0016, 0.9399)	eps_len 73.60
[2022-11-15 05:22:27,153] 897	T_sample 18.79	T_update 5.01	ETA 7:17:05	expert_R_avg 0.5300 [0.6912,0.5262,0.4900,0.1157,0.3058,0.0211]	expert_R_range (0.0167, 0.9375)	eps_len 73.96
[2022-11-15 05:22:51,302] 898	T_sample 19.13	T_update 4.97	ETA 7:22:22	expert_R_avg 0.5309 [0.6918,0.5274,0.4920,0.1142,0.3065,0.0213]	expert_R_range (0.0186, 0.9315)	eps_len 73.73
[2022-11-15 05:23:14,983] 899	T_sample 18.61	T_update 5.03	ETA 7:13:24	expert_R_avg 0.5320 [0.6930,0.5267,0.4925,0.1164,0.3087,0.0212]	expert_R_range (0.0396, 0.9363)	eps_len 73.66
[2022-11-15 05:23:39,188] 900	T_sample 19.18	T_update 4.98	ETA 7:22:30	expert_R_avg 0.5326 [0.6928,0.5278,0.4945,0.1162,0.3103,0.0216]	expert_R_range (0.0151, 0.9311)	eps_len 73.66
[2022-11-15 05:24:03,191] 901	T_sample 18.99	T_update 4.97	ETA 7:18:31	expert_R_avg 0.5304 [0.6923,0.5250,0.4888,0.1166,0.3073,0.0208]	expert_R_range (0.0205, 0.9329)	eps_len 74.32
[2022-11-15 05:24:27,407] 902	T_sample 19.20	T_update 4.97	ETA 7:22:00	expert_R_avg 0.5303 [0.6908,0.5244,0.4918,0.1144,0.3053,0.0209]	expert_R_range (0.0069, 0.9297)	eps_len 73.80
[2022-11-15 05:24:51,294] 903	T_sample 18.86	T_update 4.99	ETA 7:15:35	expert_R_avg 0.5318 [0.6929,0.5259,0.4925,0.1153,0.3077,0.0211]	expert_R_range (0.0086, 0.9328)	eps_len 73.66
[2022-11-15 05:25:15,359] 904	T_sample 19.03	T_update 4.99	ETA 7:18:26	expert_R_avg 0.5316 [0.6930,0.5261,0.4922,0.1152,0.3065,0.0211]	expert_R_range (0.0188, 0.9378)	eps_len 74.15
[2022-11-15 05:25:39,406] 905	T_sample 19.01	T_update 4.99	ETA 7:17:43	expert_R_avg 0.5308 [0.6931,0.5261,0.4898,0.1149,0.3051,0.0211]	expert_R_range (0.0127, 0.9317)	eps_len 73.46
[2022-11-15 05:26:03,249] 906	T_sample 18.80	T_update 5.00	ETA 7:13:36	expert_R_avg 0.5311 [0.6933,0.5266,0.4912,0.1112,0.3043,0.0211]	expert_R_range (0.0096, 0.9314)	eps_len 73.84
[2022-11-15 05:26:27,368] 907	T_sample 19.08	T_update 5.00	ETA 7:18:13	expert_R_avg 0.5327 [0.6950,0.5268,0.4931,0.1127,0.3057,0.0210]	expert_R_range (0.0397, 0.9324)	eps_len 73.31
[2022-11-15 05:26:51,865] 908	T_sample 19.47	T_update 4.99	ETA 7:24:39	expert_R_avg 0.5335 [0.6961,0.5291,0.4929,0.1133,0.3082,0.0212]	expert_R_range (0.0447, 0.9331)	eps_len 73.62
[2022-11-15 05:27:15,664] 909	T_sample 18.77	T_update 4.99	ETA 7:11:36	expert_R_avg 0.5359 [0.6974,0.5316,0.4983,0.1138,0.3100,0.0214]	expert_R_range (0.0274, 0.9342)	eps_len 73.56
[2022-11-15 05:27:39,518] 910	T_sample 18.83	T_update 4.97	ETA 7:12:06	expert_R_avg 0.5301 [0.6934,0.5275,0.4868,0.1145,0.3063,0.0211]	expert_R_range (0.0180, 0.9385)	eps_len 73.44
[2022-11-15 05:28:03,727] 911	T_sample 19.17	T_update 5.00	ETA 7:18:15	expert_R_avg 0.5327 [0.6955,0.5299,0.4912,0.1113,0.3096,0.0211]	expert_R_range (0.0054, 0.9353)	eps_len 73.90
[2022-11-15 05:28:27,813] 912	T_sample 19.05	T_update 4.99	ETA 7:15:38	expert_R_avg 0.5347 [0.6965,0.5281,0.4966,0.1129,0.3080,0.0208]	expert_R_range (0.0091, 0.9329)	eps_len 73.26
[2022-11-15 05:28:51,562] 913	T_sample 18.72	T_update 4.99	ETA 7:09:07	expert_R_avg 0.5302 [0.6935,0.5265,0.4880,0.1101,0.3048,0.0209]	expert_R_range (0.0053, 0.9317)	eps_len 73.37
[2022-11-15 05:29:15,706] 914	T_sample 19.09	T_update 5.01	ETA 7:15:51	expert_R_avg 0.5308 [0.6941,0.5257,0.4886,0.1140,0.3048,0.0204]	expert_R_range (0.0105, 0.9340)	eps_len 73.35
[2022-11-15 05:29:39,503] 915	T_sample 18.78	T_update 4.97	ETA 7:09:12	expert_R_avg 0.5336 [0.6959,0.5265,0.4940,0.1153,0.3069,0.0202]	expert_R_range (0.0357, 0.9334)	eps_len 72.96
[2022-11-15 05:30:03,962] 916	T_sample 19.42	T_update 5.00	ETA 7:20:45	expert_R_avg 0.5340 [0.6965,0.5273,0.4944,0.1123,0.3083,0.0204]	expert_R_range (0.0022, 0.9338)	eps_len 73.90
[2022-11-15 05:30:27,775] 917	T_sample 18.78	T_update 4.99	ETA 7:08:41	expert_R_avg 0.5315 [0.6941,0.5260,0.4895,0.1128,0.3096,0.0204]	expert_R_range (0.0036, 0.9298)	eps_len 73.76
[2022-11-15 05:30:52,299] 918	T_sample 19.47	T_update 5.01	ETA 7:21:04	expert_R_avg 0.5315 [0.6940,0.5258,0.4901,0.1118,0.3085,0.0204]	expert_R_range (0.0337, 0.9321)	eps_len 73.45
[2022-11-15 05:31:16,304] 919	T_sample 18.96	T_update 5.00	ETA 7:11:21	expert_R_avg 0.5304 [0.6935,0.5246,0.4876,0.1115,0.3079,0.0200]	expert_R_range (0.0359, 0.9309)	eps_len 73.87
[2022-11-15 05:31:40,396] 920	T_sample 19.05	T_update 5.00	ETA 7:12:25	expert_R_avg 0.5325 [0.6952,0.5258,0.4915,0.1133,0.3080,0.0200]	expert_R_range (0.0449, 0.9348)	eps_len 73.12
[2022-11-15 05:32:04,429] 921	T_sample 19.00	T_update 4.99	ETA 7:11:04	expert_R_avg 0.5327 [0.6955,0.5243,0.4921,0.1155,0.3055,0.0201]	expert_R_range (0.0024, 0.9323)	eps_len 73.83
[2022-11-15 05:32:28,680] 922	T_sample 19.20	T_update 5.01	ETA 7:14:34	expert_R_avg 0.5309 [0.6936,0.5253,0.4896,0.1109,0.3069,0.0200]	expert_R_range (0.0002, 0.9310)	eps_len 73.00
[2022-11-15 05:32:52,914] 923	T_sample 19.22	T_update 4.98	ETA 7:13:51	expert_R_avg 0.5329 [0.6955,0.5269,0.4916,0.1128,0.3103,0.0201]	expert_R_range (0.0316, 0.9340)	eps_len 73.81
[2022-11-15 05:33:16,811] 924	T_sample 18.84	T_update 5.02	ETA 7:07:26	expert_R_avg 0.5310 [0.6946,0.5246,0.4880,0.1158,0.3053,0.0194]	expert_R_range (0.0142, 0.9344)	eps_len 73.57
[2022-11-15 05:33:40,760] 925	T_sample 18.92	T_update 4.99	ETA 7:07:58	expert_R_avg 0.5316 [0.6937,0.5267,0.4911,0.1122,0.3083,0.0198]	expert_R_range (0.0003, 0.9288)	eps_len 73.87
[2022-11-15 05:34:04,979] 926	T_sample 19.17	T_update 5.01	ETA 7:12:23	expert_R_avg 0.5330 [0.6947,0.5257,0.4941,0.1138,0.3078,0.0195]	expert_R_range (0.0076, 0.9350)	eps_len 73.49
[2022-11-15 05:34:28,610] 927	T_sample 18.61	T_update 4.98	ETA 7:01:30	expert_R_avg 0.5303 [0.6921,0.5223,0.4894,0.1151,0.3070,0.0195]	expert_R_range (0.0077, 0.9321)	eps_len 73.40
[2022-11-15 05:34:52,882] 928	T_sample 19.22	T_update 5.01	ETA 7:12:30	expert_R_avg 0.5314 [0.6933,0.5232,0.4917,0.1165,0.3048,0.0194]	expert_R_range (0.0132, 0.9311)	eps_len 73.28
[2022-11-15 05:35:17,073] 929	T_sample 19.16	T_update 4.99	ETA 7:10:41	expert_R_avg 0.5295 [0.6920,0.5220,0.4879,0.1136,0.3052,0.0193]	expert_R_range (0.0011, 0.9327)	eps_len 73.58
[2022-11-15 05:35:41,138] 930	T_sample 19.01	T_update 5.01	ETA 7:07:55	expert_R_avg 0.5308 [0.6930,0.5241,0.4889,0.1142,0.3098,0.0192]	expert_R_range (0.0027, 0.9310)	eps_len 73.38
[2022-11-15 05:36:05,271] 931	T_sample 19.13	T_update 4.96	ETA 7:08:51	expert_R_avg 0.5322 [0.6928,0.5234,0.4950,0.1121,0.3071,0.0196]	expert_R_range (0.0244, 0.9279)	eps_len 74.05
[2022-11-15 05:36:29,150] 932	T_sample 18.85	T_update 4.99	ETA 7:03:56	expert_R_avg 0.5289 [0.6905,0.5213,0.4880,0.1129,0.3059,0.0192]	expert_R_range (0.0485, 0.9314)	eps_len 74.00
[2022-11-15 05:36:53,224] 933	T_sample 19.06	T_update 4.97	ETA 7:06:58	expert_R_avg 0.5306 [0.6918,0.5221,0.4910,0.1143,0.3074,0.0191]	expert_R_range (0.0094, 0.9373)	eps_len 73.40
[2022-11-15 05:37:17,185] 934	T_sample 18.92	T_update 5.00	ETA 7:04:35	expert_R_avg 0.5307 [0.6945,0.5223,0.4887,0.1127,0.3025,0.0193]	expert_R_range (0.0033, 0.9333)	eps_len 73.30
[2022-11-15 05:37:40,940] 935	T_sample 18.74	T_update 4.97	ETA 7:00:32	expert_R_avg 0.5343 [0.6958,0.5260,0.4958,0.1133,0.3099,0.0196]	expert_R_range (0.0218, 0.9340)	eps_len 73.58
[2022-11-15 05:38:05,197] 936	T_sample 19.24	T_update 4.98	ETA 7:09:02	expert_R_avg 0.5322 [0.6947,0.5241,0.4913,0.1153,0.3064,0.0197]	expert_R_range (0.0191, 0.9344)	eps_len 73.55
[2022-11-15 05:38:29,105] 937	T_sample 18.90	T_update 4.97	ETA 7:02:27	expert_R_avg 0.5329 [0.6939,0.5261,0.4952,0.1122,0.3085,0.0197]	expert_R_range (0.0271, 0.9322)	eps_len 73.73
[2022-11-15 05:38:53,479] 938	T_sample 19.34	T_update 4.99	ETA 7:10:16	expert_R_avg 0.5296 [0.6915,0.5221,0.4885,0.1131,0.3063,0.0197]	expert_R_range (0.0021, 0.9353)	eps_len 73.85
[2022-11-15 05:39:17,474] 939	T_sample 18.93	T_update 5.02	ETA 7:03:11	expert_R_avg 0.5299 [0.6922,0.5243,0.4885,0.1119,0.3067,0.0198]	expert_R_range (0.0052, 0.9329)	eps_len 73.76
[2022-11-15 05:39:41,425] 940	T_sample 18.92	T_update 4.98	ETA 7:01:56	expert_R_avg 0.5337 [0.6965,0.5257,0.4932,0.1119,0.3085,0.0200]	expert_R_range (0.0532, 0.9318)	eps_len 73.47
[2022-11-15 05:40:05,636] 941	T_sample 19.15	T_update 5.02	ETA 7:06:12	expert_R_avg 0.5349 [0.6969,0.5267,0.4958,0.1117,0.3113,0.0198]	expert_R_range (0.0098, 0.9321)	eps_len 73.89
[2022-11-15 05:40:29,920] 942	T_sample 19.26	T_update 4.98	ETA 7:07:06	expert_R_avg 0.5317 [0.6941,0.5243,0.4903,0.1132,0.3093,0.0199]	expert_R_range (0.0122, 0.9313)	eps_len 73.42
[2022-11-15 05:40:53,975] 943	T_sample 19.02	T_update 4.99	ETA 7:02:37	expert_R_avg 0.5337 [0.6945,0.5230,0.4968,0.1133,0.3072,0.0195]	expert_R_range (0.0275, 0.9326)	eps_len 73.72
[2022-11-15 05:41:18,096] 944	T_sample 19.08	T_update 5.00	ETA 7:03:24	expert_R_avg 0.5313 [0.6930,0.5228,0.4917,0.1138,0.3061,0.0195]	expert_R_range (0.0215, 0.9315)	eps_len 73.37
[2022-11-15 05:41:42,557] 945	T_sample 19.44	T_update 4.98	ETA 7:08:59	expert_R_avg 0.5331 [0.6950,0.5244,0.4927,0.1137,0.3106,0.0200]	expert_R_range (0.0302, 0.9318)	eps_len 73.45
[2022-11-15 05:42:06,774] 946	T_sample 19.18	T_update 5.00	ETA 7:04:19	expert_R_avg 0.5331 [0.6942,0.5243,0.4944,0.1147,0.3094,0.0196]	expert_R_range (0.0062, 0.9358)	eps_len 74.05
[2022-11-15 05:42:30,859] 947	T_sample 19.05	T_update 4.99	ETA 7:01:35	expert_R_avg 0.5305 [0.6913,0.5211,0.4921,0.1110,0.3065,0.0194]	expert_R_range (0.0201, 0.9280)	eps_len 73.48
[2022-11-15 05:42:55,006] 948	T_sample 19.14	T_update 4.97	ETA 7:02:16	expert_R_avg 0.5319 [0.6926,0.5232,0.4935,0.1119,0.3102,0.0194]	expert_R_range (0.0039, 0.9347)	eps_len 73.43
[2022-11-15 05:43:19,022] 949	T_sample 18.98	T_update 4.99	ETA 6:59:33	expert_R_avg 0.5332 [0.6934,0.5233,0.4958,0.1143,0.3111,0.0195]	expert_R_range (0.0081, 0.9334)	eps_len 73.78
[2022-11-15 05:43:43,071] 950	T_sample 19.01	T_update 4.99	ETA 6:59:38	expert_R_avg 0.5304 [0.6913,0.5202,0.4913,0.1136,0.3072,0.0193]	expert_R_range (0.0147, 0.9293)	eps_len 73.45
[2022-11-15 05:44:07,043] 951	T_sample 18.95	T_update 4.98	ETA 6:57:59	expert_R_avg 0.5344 [0.6963,0.5223,0.4969,0.1142,0.3057,0.0192]	expert_R_range (0.0083, 0.9305)	eps_len 73.39
[2022-11-15 05:44:31,094] 952	T_sample 19.03	T_update 4.98	ETA 6:58:59	expert_R_avg 0.5333 [0.6950,0.5230,0.4944,0.1134,0.3089,0.0190]	expert_R_range (0.0322, 0.9369)	eps_len 73.67
[2022-11-15 05:44:55,082] 953	T_sample 18.95	T_update 5.00	ETA 6:57:29	expert_R_avg 0.5326 [0.6943,0.5209,0.4935,0.1144,0.3069,0.0196]	expert_R_range (0.0199, 0.9295)	eps_len 73.66
[2022-11-15 05:45:19,168] 954	T_sample 19.04	T_update 5.00	ETA 6:58:48	expert_R_avg 0.5312 [0.6923,0.5216,0.4915,0.1178,0.3072,0.0195]	expert_R_range (0.0147, 0.9287)	eps_len 73.48
[2022-11-15 05:45:43,052] 955	T_sample 18.85	T_update 5.00	ETA 6:54:52	expert_R_avg 0.5309 [0.6900,0.5180,0.4958,0.1145,0.3048,0.0189]	expert_R_range (0.0114, 0.9334)	eps_len 74.17
[2022-11-15 05:46:07,101] 956	T_sample 19.01	T_update 5.00	ETA 6:57:20	expert_R_avg 0.5290 [0.6893,0.5169,0.4910,0.1130,0.3046,0.0187]	expert_R_range (0.0241, 0.9289)	eps_len 73.62
[2022-11-15 05:46:31,081] 957	T_sample 18.96	T_update 4.98	ETA 6:55:45	expert_R_avg 0.5326 [0.6925,0.5204,0.4967,0.1145,0.3072,0.0188]	expert_R_range (0.0124, 0.9362)	eps_len 73.27
[2022-11-15 05:46:55,044] 958	T_sample 18.92	T_update 5.00	ETA 6:55:02	expert_R_avg 0.5288 [0.6911,0.5193,0.4877,0.1104,0.3045,0.0190]	expert_R_range (0.0247, 0.9361)	eps_len 73.19
[2022-11-15 05:47:19,006] 959	T_sample 18.91	T_update 5.01	ETA 6:54:39	expert_R_avg 0.5325 [0.6913,0.5203,0.4987,0.1138,0.3063,0.0192]	expert_R_range (0.0076, 0.9346)	eps_len 73.63
[2022-11-15 05:47:42,943] 960	T_sample 18.91	T_update 4.98	ETA 6:53:42	expert_R_avg 0.5274 [0.6897,0.5186,0.4857,0.1093,0.3037,0.0190]	expert_R_range (0.0164, 0.9382)	eps_len 73.20
[2022-11-15 05:48:06,883] 961	T_sample 18.90	T_update 4.99	ETA 6:53:27	expert_R_avg 0.5299 [0.6907,0.5191,0.4911,0.1117,0.3068,0.0189]	expert_R_range (0.0020, 0.9364)	eps_len 73.79
[2022-11-15 05:48:30,727] 962	T_sample 18.81	T_update 4.99	ETA 6:51:23	expert_R_avg 0.5312 [0.6917,0.5186,0.4932,0.1134,0.3074,0.0187]	expert_R_range (0.0292, 0.9321)	eps_len 73.58
[2022-11-15 05:48:54,553] 963	T_sample 18.79	T_update 5.00	ETA 6:50:42	expert_R_avg 0.5317 [0.6918,0.5182,0.4953,0.1149,0.3052,0.0189]	expert_R_range (0.0355, 0.9352)	eps_len 73.79
[2022-11-15 05:49:18,700] 964	T_sample 19.12	T_update 4.98	ETA 6:55:49	expert_R_avg 0.5308 [0.6901,0.5173,0.4945,0.1109,0.3091,0.0186]	expert_R_range (0.0174, 0.9335)	eps_len 73.94
[2022-11-15 05:49:43,018] 965	T_sample 19.31	T_update 4.97	ETA 6:58:23	expert_R_avg 0.5338 [0.6940,0.5206,0.4984,0.1114,0.3077,0.0190]	expert_R_range (0.0057, 0.9295)	eps_len 73.43
[2022-11-15 05:50:07,187] 966	T_sample 19.13	T_update 5.00	ETA 6:55:25	expert_R_avg 0.5295 [0.6915,0.5183,0.4888,0.1116,0.3058,0.0188]	expert_R_range (0.0149, 0.9306)	eps_len 73.96
[2022-11-15 05:50:31,121] 967	T_sample 18.92	T_update 4.97	ETA 6:50:58	expert_R_avg 0.5309 [0.6911,0.5177,0.4938,0.1123,0.3058,0.0189]	expert_R_range (0.0031, 0.9330)	eps_len 73.28
[2022-11-15 05:50:54,815] 968	T_sample 18.68	T_update 4.98	ETA 6:46:26	expert_R_avg 0.5285 [0.6901,0.5167,0.4886,0.1094,0.3050,0.0185]	expert_R_range (0.0054, 0.9297)	eps_len 73.98
[2022-11-15 05:51:18,801] 969	T_sample 18.95	T_update 5.00	ETA 6:51:04	expert_R_avg 0.5314 [0.6927,0.5177,0.4937,0.1097,0.3053,0.0186]	expert_R_range (0.0047, 0.9340)	eps_len 73.18
[2022-11-15 05:51:43,291] 970	T_sample 19.43	T_update 5.02	ETA 6:59:11	expert_R_avg 0.5310 [0.6914,0.5173,0.4943,0.1109,0.3058,0.0183]	expert_R_range (0.0114, 0.9282)	eps_len 73.43
[2022-11-15 05:52:07,202] 971	T_sample 18.89	T_update 4.98	ETA 6:49:00	expert_R_avg 0.5329 [0.6940,0.5199,0.4945,0.1137,0.3095,0.0183]	expert_R_range (0.0221, 0.9282)	eps_len 73.76
[2022-11-15 05:52:31,144] 972	T_sample 18.92	T_update 4.98	ETA 6:49:06	expert_R_avg 0.5331 [0.6937,0.5197,0.4970,0.1124,0.3063,0.0184]	expert_R_range (0.0401, 0.9320)	eps_len 73.64
[2022-11-15 05:52:54,881] 973	T_sample 18.70	T_update 4.99	ETA 6:45:11	expert_R_avg 0.5316 [0.6934,0.5183,0.4921,0.1109,0.3078,0.0182]	expert_R_range (0.0101, 0.9310)	eps_len 73.64
